Epoch,Surrogate,Alpha,Train_Loss,Train_Acc,Test_Acc,Time
1,PiecewiseLinear,1.0,2.0689858514022825,0.36588,0.4159,33.97058653831482
2,PiecewiseLinear,1.0,1.9667089240264892,0.44702,0.4801,29.436181783676147
3,PiecewiseLinear,1.0,1.9091918254852296,0.4958,0.5004,28.871384859085083
4,PiecewiseLinear,1.0,1.8905043795013428,0.5202,0.5097,28.32612705230713
5,PiecewiseLinear,1.0,1.8782269203567505,0.53156,0.5218,28.41822099685669
6,PiecewiseLinear,1.0,1.8582775091934205,0.54048,0.5248,28.16008758544922
7,PiecewiseLinear,1.0,1.817777982673645,0.57058,0.5532,28.402342319488525
8,PiecewiseLinear,1.0,1.8062211167907716,0.59172,0.5679,27.857202529907227
9,PiecewiseLinear,1.0,1.7969475772476196,0.60432,0.5814,27.636174201965332
10,PiecewiseLinear,1.0,1.7904293783187866,0.61474,0.5711,25.512445211410522
11,PiecewiseLinear,1.0,1.7856758016204834,0.62102,0.5826,25.56531858444214
12,PiecewiseLinear,1.0,1.779818278388977,0.63138,0.5803,23.554425477981567
13,PiecewiseLinear,1.0,1.7742738101959228,0.63818,0.5904,21.14475965499878
14,PiecewiseLinear,1.0,1.7710747385787964,0.64434,0.5948,18.802333116531372
15,PiecewiseLinear,1.0,1.7675187800598144,0.64754,0.6025,18.659831285476685
16,PiecewiseLinear,1.0,1.76519491065979,0.65152,0.5941,20.705666303634644
17,PiecewiseLinear,1.0,1.760503875579834,0.65924,0.6065,22.94556212425232
18,PiecewiseLinear,1.0,1.7582095768737793,0.66252,0.574,23.325451612472534
19,PiecewiseLinear,1.0,1.7577351780700683,0.66292,0.5932,25.889488220214844
20,PiecewiseLinear,1.0,1.7548215578842163,0.66732,0.6121,26.250662803649902
21,PiecewiseLinear,1.0,1.752123283958435,0.67152,0.6017,24.90804123878479
22,PiecewiseLinear,1.0,1.7505970626831056,0.67306,0.6041,20.24725365638733
23,PiecewiseLinear,1.0,1.748891217765808,0.67554,0.6013,18.043823719024658
24,PiecewiseLinear,1.0,1.747094373550415,0.67724,0.6004,19.172635316848755
25,PiecewiseLinear,1.0,1.7461369371032716,0.6784,0.6064,24.224385023117065
26,PiecewiseLinear,1.0,1.7427538813781738,0.68528,0.6061,26.108100414276123
27,PiecewiseLinear,1.0,1.7422052809906006,0.6827,0.6022,26.10645890235901
28,PiecewiseLinear,1.0,1.739520193710327,0.6866,0.6033,26.119746446609497
29,PiecewiseLinear,1.0,1.7397472003936767,0.68886,0.6218,24.587327003479004
30,PiecewiseLinear,1.0,1.7383369664764405,0.6906,0.6073,22.39662218093872
31,PiecewiseLinear,1.0,1.7369018808364869,0.69292,0.6115,23.78768277168274
32,PiecewiseLinear,1.0,1.7354084357452393,0.69404,0.6026,21.262537002563477
33,PiecewiseLinear,1.0,1.7334986923980713,0.69746,0.6101,18.081318378448486
34,PiecewiseLinear,1.0,1.734117358856201,0.6972,0.6055,18.87979745864868
35,PiecewiseLinear,1.0,1.732593083229065,0.69756,0.6013,24.316488027572632
36,PiecewiseLinear,1.0,1.7310206440353393,0.70086,0.6019,25.171177864074707
37,PiecewiseLinear,1.0,1.7294961032104492,0.70166,0.6056,27.584367513656616
38,PiecewiseLinear,1.0,1.7292462728118896,0.70178,0.6149,27.85482406616211
39,PiecewiseLinear,1.0,1.7286619516754151,0.70412,0.6096,27.79657292366028
40,PiecewiseLinear,1.0,1.7273263219451904,0.7048,0.6131,26.73978328704834
41,PiecewiseLinear,1.0,1.7262179643249511,0.70522,0.6083,26.02433943748474
42,PiecewiseLinear,1.0,1.7258059354019164,0.70682,0.6102,23.96822428703308
43,PiecewiseLinear,1.0,1.7253824069976806,0.70746,0.62,21.805574417114258
44,PiecewiseLinear,1.0,1.7242530578613282,0.7093,0.6101,23.702170848846436
45,PiecewiseLinear,1.0,1.7241560228347779,0.71006,0.6171,21.20819401741028
46,PiecewiseLinear,1.0,1.7232157765579224,0.71018,0.6186,18.576911211013794
47,PiecewiseLinear,1.0,1.7226419596862792,0.71176,0.6168,19.76914358139038
48,PiecewiseLinear,1.0,1.7207613946533202,0.7128,0.6083,22.08917212486267
49,PiecewiseLinear,1.0,1.7203911114501953,0.71414,0.6199,25.227269172668457
50,PiecewiseLinear,1.0,1.720521108818054,0.71604,0.6107,27.394209384918213
51,PiecewiseLinear,1.0,1.7199979977798463,0.71424,0.6187,27.71786618232727
52,PiecewiseLinear,1.0,1.7192420919418334,0.71664,0.6192,28.117883920669556
53,PiecewiseLinear,1.0,1.7185195202636718,0.71748,0.6169,27.04369807243347
54,PiecewiseLinear,1.0,1.7177116014480591,0.71836,0.6047,25.6902117729187
55,PiecewiseLinear,1.0,1.7178124214553834,0.7186,0.6169,23.11647891998291
56,PiecewiseLinear,1.0,1.7176290101623535,0.7173,0.6205,22.33240795135498
57,PiecewiseLinear,1.0,1.716709285926819,0.71942,0.6031,21.846561908721924
58,PiecewiseLinear,1.0,1.7167357547378541,0.7196,0.6142,17.23211669921875
59,PiecewiseLinear,1.0,1.7147638682937623,0.72196,0.6181,18.353049278259277
60,PiecewiseLinear,1.0,1.7143193196487427,0.7217,0.6187,22.142719984054565
61,PiecewiseLinear,1.0,1.7156122343063354,0.72142,0.6122,24.25723648071289
62,PiecewiseLinear,1.0,1.7145848331832885,0.72324,0.6202,25.92680835723877
63,PiecewiseLinear,1.0,1.7137214780807495,0.72234,0.6115,27.14206027984619
64,PiecewiseLinear,1.0,1.7128038526916505,0.72456,0.6162,27.87070608139038
65,PiecewiseLinear,1.0,1.713191018600464,0.72336,0.6188,27.829073190689087
66,PiecewiseLinear,1.0,1.7118260509490968,0.72638,0.6201,27.60011386871338
67,PiecewiseLinear,1.0,1.7121125844192504,0.7264,0.6093,27.19639754295349
68,PiecewiseLinear,1.0,1.7116306872177125,0.72692,0.6208,26.203205823898315
69,PiecewiseLinear,1.0,1.711496385345459,0.72546,0.6227,25.459826707839966
