Epoch,Surrogate,Alpha,Train_Loss,Train_Acc,Test_Acc,Time
1,SigmoidSurrogate,4.0,1.9227440116882324,0.3943,0.4404,34.09044694900513
2,SigmoidSurrogate,4.0,1.8257092559051513,0.49482,0.5038,29.663227081298828
3,SigmoidSurrogate,4.0,1.796857641181946,0.535,0.4826,29.210065364837646
4,SigmoidSurrogate,4.0,1.7783247334289551,0.5626,0.5363,28.646578311920166
5,SigmoidSurrogate,4.0,1.7666685919952392,0.57974,0.5602,28.667535066604614
6,SigmoidSurrogate,4.0,1.7554901449966431,0.59794,0.5567,28.46521258354187
7,SigmoidSurrogate,4.0,1.7455506113052368,0.6139,0.5992,28.53852677345276
8,SigmoidSurrogate,4.0,1.7375313778686523,0.6287,0.5887,28.390804290771484
9,SigmoidSurrogate,4.0,1.73154261302948,0.63728,0.5684,28.292768239974976
10,SigmoidSurrogate,4.0,1.725738196258545,0.64712,0.6057,27.45181393623352
11,SigmoidSurrogate,4.0,1.7202178601455689,0.65934,0.6023,27.030598878860474
12,SigmoidSurrogate,4.0,1.7151762339401244,0.66196,0.5999,26.046457290649414
13,SigmoidSurrogate,4.0,1.7109251427459717,0.67136,0.6094,24.930309534072876
14,SigmoidSurrogate,4.0,1.706586181526184,0.6769,0.6105,23.360808849334717
15,SigmoidSurrogate,4.0,1.7036884270858765,0.68526,0.6125,22.488688945770264
16,SigmoidSurrogate,4.0,1.699980980453491,0.69102,0.6168,21.60897183418274
17,SigmoidSurrogate,4.0,1.697857011909485,0.69046,0.6191,19.04381823539734
18,SigmoidSurrogate,4.0,1.6929017761611937,0.70028,0.6266,17.755024194717407
19,SigmoidSurrogate,4.0,1.6921976050567626,0.70218,0.6301,21.859160900115967
20,SigmoidSurrogate,4.0,1.688981198310852,0.70546,0.6266,25.481705904006958
21,SigmoidSurrogate,4.0,1.6882749072647094,0.71014,0.6322,26.614700078964233
22,SigmoidSurrogate,4.0,1.6850917750549317,0.71394,0.6274,25.07508945465088
23,SigmoidSurrogate,4.0,1.6824115628814698,0.71748,0.6287,24.921781063079834
24,SigmoidSurrogate,4.0,1.6810952977371216,0.72078,0.6464,26.748485326766968
25,SigmoidSurrogate,4.0,1.6790754917907715,0.72576,0.6371,25.802061557769775
26,SigmoidSurrogate,4.0,1.6784028005218505,0.72692,0.6389,23.666372299194336
27,SigmoidSurrogate,4.0,1.6763589743804932,0.7285,0.6243,23.3803493976593
28,SigmoidSurrogate,4.0,1.6745596813583374,0.73284,0.6249,21.715855836868286
29,SigmoidSurrogate,4.0,1.6728678481292725,0.73678,0.6337,18.261141538619995
30,SigmoidSurrogate,4.0,1.6718482757949829,0.7372,0.6348,19.038024425506592
31,SigmoidSurrogate,4.0,1.6708281275558472,0.7385,0.6418,23.296735525131226
32,SigmoidSurrogate,4.0,1.6686806764221191,0.742,0.6303,23.497300148010254
33,SigmoidSurrogate,4.0,1.6682749481582642,0.7434,0.6402,24.096492767333984
34,SigmoidSurrogate,4.0,1.666880947265625,0.74554,0.625,26.83890414237976
35,SigmoidSurrogate,4.0,1.6651058577346802,0.75006,0.6506,27.458944082260132
36,SigmoidSurrogate,4.0,1.6655068156051636,0.74884,0.6457,28.423871517181396
37,SigmoidSurrogate,4.0,1.6641711965942383,0.75074,0.6501,26.50312566757202
38,SigmoidSurrogate,4.0,1.662136492805481,0.7532,0.6198,27.313799619674683
39,SigmoidSurrogate,4.0,1.6612315725708007,0.75304,0.6544,25.46801781654358
40,SigmoidSurrogate,4.0,1.6609413818740846,0.75822,0.6482,23.408790111541748
41,SigmoidSurrogate,4.0,1.6589765726852417,0.75942,0.643,18.79783797264099
42,SigmoidSurrogate,4.0,1.6594386328125,0.75914,0.6473,18.05699896812439
43,SigmoidSurrogate,4.0,1.6578066970062255,0.7626,0.637,20.031967639923096
44,SigmoidSurrogate,4.0,1.656741219444275,0.76062,0.6424,22.417332649230957
45,SigmoidSurrogate,4.0,1.6562090670776368,0.7644,0.637,23.730778455734253
46,SigmoidSurrogate,4.0,1.6565084953689575,0.76236,0.6394,24.104138374328613
47,SigmoidSurrogate,4.0,1.654823458366394,0.76704,0.6392,25.872522830963135
48,SigmoidSurrogate,4.0,1.6536316381072997,0.76792,0.6434,27.442723035812378
49,SigmoidSurrogate,4.0,1.6532219754028321,0.76942,0.6564,28.43067979812622
50,SigmoidSurrogate,4.0,1.652395753479004,0.77072,0.6526,27.743871688842773
51,SigmoidSurrogate,4.0,1.652301778678894,0.77166,0.6567,26.64064311981201
52,SigmoidSurrogate,4.0,1.6513130187225342,0.7711,0.6409,24.96895980834961
53,SigmoidSurrogate,4.0,1.6507004167175292,0.77246,0.6441,22.253493785858154
54,SigmoidSurrogate,4.0,1.649875713043213,0.775,0.6509,17.982429027557373
55,SigmoidSurrogate,4.0,1.6480951222229003,0.77674,0.6473,17.578673362731934
56,SigmoidSurrogate,4.0,1.649238383140564,0.77408,0.6583,20.84756112098694
57,SigmoidSurrogate,4.0,1.6475912717437744,0.77704,0.653,23.531165599822998
58,SigmoidSurrogate,4.0,1.646932654914856,0.77798,0.6597,22.950230836868286
59,SigmoidSurrogate,4.0,1.6470813040542602,0.7775,0.6448,25.028214931488037
60,SigmoidSurrogate,4.0,1.6457388776397706,0.78024,0.6519,26.24691128730774
61,SigmoidSurrogate,4.0,1.6466801274871825,0.77862,0.6608,27.579922676086426
62,SigmoidSurrogate,4.0,1.6451762332153321,0.7825,0.6491,27.77059578895569
63,SigmoidSurrogate,4.0,1.6441017871475219,0.7848,0.6475,28.21587109565735
64,SigmoidSurrogate,4.0,1.6443425789642334,0.78458,0.658,28.102547645568848
65,SigmoidSurrogate,4.0,1.6447904083633422,0.78278,0.6508,27.74508500099182
66,SigmoidSurrogate,4.0,1.6426758325576782,0.78518,0.6591,27.648557662963867
67,SigmoidSurrogate,4.0,1.6431005632781983,0.78494,0.6485,26.28958773612976
68,SigmoidSurrogate,4.0,1.6418694690322877,0.78698,0.6625,25.610905170440674
69,SigmoidSurrogate,4.0,1.642822671508789,0.7858,0.6481,24.754020929336548
70,SigmoidSurrogate,4.0,1.6414076429748534,0.78542,0.6426,24.038421154022217
71,SigmoidSurrogate,4.0,1.641367779121399,0.78674,0.6597,23.136484146118164
72,SigmoidSurrogate,4.0,1.6414554831314088,0.78754,0.6584,23.954792261123657
73,SigmoidSurrogate,4.0,1.6400685496902465,0.7879,0.6583,24.94524073600769
74,SigmoidSurrogate,4.0,1.6400795183944703,0.79006,0.6551,26.204777717590332
75,SigmoidSurrogate,4.0,1.6392734142303467,0.79134,0.653,26.188933849334717
76,SigmoidSurrogate,4.0,1.6393850356674193,0.78974,0.6578,26.456196784973145
77,SigmoidSurrogate,4.0,1.6388071226882934,0.79118,0.6494,25.989111185073853
78,SigmoidSurrogate,4.0,1.6378574753570556,0.7926,0.6544,25.259818077087402
79,SigmoidSurrogate,4.0,1.6383167051315308,0.79358,0.6564,22.771011114120483
80,SigmoidSurrogate,4.0,1.637777558746338,0.79314,0.6554,23.87520670890808
81,SigmoidSurrogate,4.0,1.63789729095459,0.79198,0.6571,23.383662700653076
82,SigmoidSurrogate,4.0,1.637776619491577,0.79176,0.6573,21.13136911392212
83,SigmoidSurrogate,4.0,1.636759690322876,0.79486,0.657,17.593564748764038
84,SigmoidSurrogate,4.0,1.6358728804016114,0.79722,0.6617,20.088688135147095
85,SigmoidSurrogate,4.0,1.6358307828521728,0.79536,0.6478,24.167766332626343
86,SigmoidSurrogate,4.0,1.6354978064727783,0.79612,0.654,26.16787624359131
87,SigmoidSurrogate,4.0,1.634928018951416,0.79816,0.658,26.524508237838745
88,SigmoidSurrogate,4.0,1.6354465134048461,0.79966,0.6575,27.533329486846924
89,SigmoidSurrogate,4.0,1.6346799047470093,0.7981,0.6531,25.70360565185547
90,SigmoidSurrogate,4.0,1.6347030364227295,0.79826,0.6653,23.583897352218628
91,SigmoidSurrogate,4.0,1.6348373047637939,0.79828,0.6536,23.549495220184326
92,SigmoidSurrogate,4.0,1.6335376042175294,0.79918,0.6616,23.537808656692505
93,SigmoidSurrogate,4.0,1.633003497390747,0.79966,0.6492,21.07173800468445
94,SigmoidSurrogate,4.0,1.6334222047042846,0.80004,0.664,19.561731100082397
95,SigmoidSurrogate,4.0,1.6332185506820678,0.80028,0.6619,18.5165536403656
96,SigmoidSurrogate,4.0,1.6321266590499879,0.80252,0.6591,22.16420602798462
97,SigmoidSurrogate,4.0,1.6315253966903687,0.80226,0.6522,24.859102725982666
98,SigmoidSurrogate,4.0,1.6321101438522339,0.80074,0.6585,26.29226326942444
99,SigmoidSurrogate,4.0,1.6319793148422241,0.80278,0.6462,26.076378345489502
100,SigmoidSurrogate,4.0,1.6323316933822631,0.80216,0.6612,23.558722496032715
